DEBUG 01-05 18:16:29,849 (PGDSpiderGUI.java:<init>:121)  -starting PGD Spider ...
DEBUG 01-05 18:16:30,233 (ParserFactory.java:getParserInstance:125)  -New ImParser instance
DEBUG 01-05 18:16:30,235 (ParserFactory.java:getParserInstance:185)  -Parser for type: KML is missing!
DEBUG 01-05 18:16:30,236 (ParserFactory.java:getParserInstance:129)  -New MafParser instance
DEBUG 01-05 18:16:30,237 (ParserFactory.java:getParserInstance:133)  -New MegaParser instance
DEBUG 01-05 18:16:30,239 (ParserFactory.java:getParserInstance:137)  -New MigrateParser instance
DEBUG 01-05 18:16:30,241 (ParserFactory.java:getParserInstance:141)  -New MsaParser instance
DEBUG 01-05 18:16:30,242 (ParserFactory.java:getParserInstance:185)  -Parser for type: MSVar is missing!
DEBUG 01-05 18:16:30,242 (ParserFactory.java:getParserInstance:145)  -New NewHybridsParser instance
DEBUG 01-05 18:16:30,245 (ParserFactory.java:getParserInstance:149)  -New NexusParser instance
DEBUG 01-05 18:16:30,248 (ParserFactory.java:getParserInstance:153)  -New OneSampParser instance
DEBUG 01-05 18:16:30,251 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
DEBUG 01-05 18:16:30,254 (ParserFactory.java:getParserInstance:165)  -New PhylipParser instance
DEBUG 01-05 18:16:30,256 (ParserFactory.java:getParserInstance:169)  -New SamParser instance
DEBUG 01-05 18:16:30,258 (ParserFactory.java:getParserInstance:185)  -Parser for type: Structurama is missing!
DEBUG 01-05 18:16:30,258 (ParserFactory.java:getParserInstance:173)  -New StructureParser instance
DEBUG 01-05 18:16:30,260 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
DEBUG 01-05 18:16:30,270 (PGDSpiderGUI.java:initializeGUI:247)  -init output panel
DEBUG 01-05 18:16:30,289 (WriterFactory.java:getWriterInstance:171)  -Writer for type: CONVERT is missing!
DEBUG 01-05 18:16:30,306 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP is missing!
DEBUG 01-05 18:16:30,306 (WriterFactory.java:getWriterInstance:171)  -Writer for type: HGDP_CEPH (Arlequin) is missing!
DEBUG 01-05 18:16:30,314 (WriterFactory.java:getWriterInstance:171)  -Writer for type: MAF is missing!
DEBUG 01-05 18:16:30,345 (PGDSpiderGUI.java:initializeGUI:250)  -init spid panel
DEBUG 01-05 18:16:30,347 (PGDSpiderGUI.java:initializeGUI:253)  -init log panel
DEBUG 01-05 18:16:30,349 (PGDSpiderGUI.java:initializeGUI:256)  -init button panel
DEBUG 01-05 18:16:32,186 (PGDSpiderGUI.java:<init>:187)  -PGD Spider up and running...
DEBUG 01-05 18:16:35,706 (PGDSpiderGUI.java:closePGDSpider:526)  -Exiting PGDSpider
DEBUG 01-05 18:16:35,707 (PGDSpiderGUI.java:closePGDSpider:527)  -Save window size
DEBUG 01-05 18:16:35,785 (PGDSpiderGUI.java:closePGDSpider:531)  -Shutdown java vm ...
